problem,mean_fitness,var_fitness,stored_best,percentile
problem_g_10,1497.6636482252907,0.0,1497.6636482252907,55.0
problem_g_100,4575.600355312398,37906.308449459684,4458.08213307093,30.0
problem_g_1000,15709.342463879637,1038505.9642726108,15481.706182544294,50.0
problem_g_20,1780.4426475917014,1570.9773093138558,1755.5146770830047,10.0
problem_g_200,6630.7870209469065,109426.39803414038,6791.096485043017,70.0
problem_g_50,2946.0020876848453,3431.138876715201,2854.07609627858,0.0
problem_g_500,10258.442100709397,137144.69989503958,10459.518216046457,70.0
problem_r1_10,193.90528748364562,74.37573926652809,184.27344079993895,15.0
problem_r1_100,828.7683873469659,727.3532327144914,776.2002366499747,10.0
problem_r1_1000,3499.2959844476563,504247.54238167807,2772.0944330327957,10.0
problem_r1_20,349.2743556783636,32.139002708544886,343.89504210405613,30.0
problem_r1_200,1166.7400894291509,963.5785532093456,1223.7451846674662,100.0
problem_r1_50,623.7881414112633,732.9244367980926,588.3529516509842,0.0
problem_r1_500,1830.308491782826,2559.735766860317,1885.2507913909667,80.0
problem_r2_10,-371.930898793729,775.6618283731643,-411.7017155524985,0.0
problem_r2_100,-4650.123050972247,1339.5523993150887,-4708.369243845407,10.0
problem_r2_1000,-49224.828941225554,5925.44168670922,-49295.83791741869,10.0
problem_r2_20,-817.7742080843348,148.14183728329,-844.2659774812848,10.0
problem_r2_200,-9557.275582479506,690.3576955258005,-9561.662645153312,50.0
problem_r2_50,-2230.331676139043,98.27051215245271,-2274.489282358286,0.0
problem_r2_500,-24418.351819383173,5450.673645179956,-24518.59064685426,20.0
